A_1_1.fq.sorted.bam	B_2_1.fq.sorted.bam	C_3_1.fq.sorted.bam	D_4_1.fq.sorted.bam	E_5_1.fq.sorted.bam	F_6_1.fq.sorted.bam	R4_1.fq.sorted.bam	R4S_1.fq.sorted.bam	R5_1.fq.sorted.bam	R5S_1.fq.sorted.bam	R6_1.fq.sorted.bam	R6S_1.fq.sorted.bam
HP_RS00975	2208	3589	2048	791	2315	2822	2785	2647	1819	2449	2350	2236
HP_RS00980	1864	4690	1895	1715	2165	3145	3058	2750	1964	2567	2665	2436
HP_RS00985	1110	3246	1296	1934	1322	2092	2081	1718	1138	1461	1685	1544
HP_RS00990	1249	1954	1440	1169	1492	1885	2688	2425	1538	2036	2205	1863
HP_RS00995	538	1122	547	907	1351	1732	1283	1023	718	814	951	848
HP_RS01000	643	740	811	183	309	275	1477	1348	911	1148	1159	1087
HP_RS01010	126	148	126	153	167	147	220	190	126	149	144	107
HP_RS01015	3247	3710	3080	3250	1856	1802	4845	4395	2948	4205	4300	4008
HP_RS01020	1176	1640	995	1774	1503	1651	1408	1089	856	1015	1152	973
HP_RS01025	433	738	396	586	679	863	957	786	503	756	682	672
HP_RS01030	18342	25346	17237	14116	11656	13131	15024	16556	10645	16420	14130	16260
HP_RS01035	1745	2224	1854	1358	1531	1708	2244	1887	1298	1729	1891	1597
HP_RS01040	1666	2121	1422	2777	2675	2724	2771	2202	1815	2256	2301	2292
HP_RS01045	2352	3231	2014	3987	3587	4060	3953	3191	2697	3130	3548	3372
HP_RS01050	786	924	699	1154	963	1097	636	510	407	587	548	491
HP_RS01055	309	391	416	245	217	333	450	387	252	383	382	353
HP_RS01060	793	1258	958	762	788	954	1333	1100	782	1007	1011	933
HP_RS01065	2211	2586	2151	2357	2897	3280	3994	3092	2364	3109	3174	2959
HP_RS01070	7772	9335	6884	5566	5471	5839	9852	9084	7048	9081	8744	9228
HP_RS01075	353	458	297	394	427	538	1553	704	845	724	1057	691
HP_RS01080	1058	2081	897	305	366	507	2096	1378	1221	1251	1625	1165
HP_RS01085	829	2052	738	420	209	350	1266	868	766	762	1037	682
HP_RS01090	1280	2296	1127	1383	1600	1613	2403	2270	1426	2138	1776	1927
HP_RS01095	618	1376	619	1117	1021	1062	1700	1061	979	957	1242	1049
HP_RS01100	7096	9993	6995	3299	4824	6216	7833	10133	5179	9349	6737	8813
HP_RS01105	444	600	459	523	801	838	1028	709	618	679	895	594
HP_RS01110	19602	22738	16868	4397	5043	5359	24331	19198	16491	18761	22183	18783
HP_RS01115	190	215	164	110	232	211	260	149	152	158	188	133
HP_RS01120	113	174	107	146	228	259	779	588	521	669	552	675
HP_RS01125	14041	16527	11846	5719	9750	11674	38456	51972	27449	55066	36774	53428
HP_RS01130	558	678	421	1015	1535	1446	768	733	421	707	497	691
HP_RS01135	6592	13864	6682	4582	3640	5282	6900	7183	4813	6697	6512	7014
HP_RS01140	2922	7801	2982	2383	1787	2574	4493	4215	2879	4129	3924	4268
HP_RS01145	9831	22363	9036	8139	6415	8863	11656	11772	7603	11057	10044	11457
HP_RS01150	3536	6477	4206	5025	3485	4173	6157	6016	3808	5207	4952	5367
HP_RS01155	3719	3252	3780	2742	3432	3490	6616	6106	4042	6087	5426	5780
HP_RS01160	395	557	392	641	684	654	971	676	550	631	761	577
HP_RS01165	752	967	852	1369	1044	948	2280	1519	1232	1508	1698	1407
HP_RS01170	1893	2487	1791	2151	2154	2254	4620	3293	2792	3169	3837	3066
HP_RS01175	1559	2029	1284	2771	2816	2778	3431	2254	2068	2120	2490	2157
HP_RS01180	1057	1418	838	2128	2151	2562	3137	1959	1738	1891	2023	2109
HP_RS01185	3985	5243	2847	4445	2781	3332	7327	5046	4807	5132	5273	5539
HP_RS01190	36793	50912	34192	12835	7580	9135	31230	29095	22602	28360	28017	29746
HP_RS01195	89552	124179	82551	17206	14768	17541	64752	66805	48159	63401	60617	65851
HP_RS01200	1584	2070	1395	2260	2324	2333	2943	2471	1875	2313	2250	2339
HP_RS01205	943	1256	845	1222	1135	1068	1510	1263	1050	1174	1275	1267
HP_RS01210	1293	1500	1221	2049	2124	2170	2871	2187	1702	2042	2083	2031
HP_RS01215	6078	7641	5221	7499	6212	6471	6673	5783	4516	6124	6078	6615
HP_RS01220	7805	9072	7186	9041	6490	6658	7715	6939	5446	6931	7196	7483
HP_RS01225	1646	2389	1531	3169	2019	1999	2057	1696	1431	1651	1774	1726
HP_RS01230	1391	1798	1187	2959	2169	2088	2349	2210	1509	1878	1962	1928
HP_RS01235	1418	1685	1220	2264	2953	2801	2700	2622	1662	2363	2417	2170
HP_RS01240	388	421	326	320	870	864	778	731	464	660	702	579
HP_RS01245	6842	7156	6962	7686	9514	10291	11998	10651	7891	10855	10376	10687
HP_RS01250	6480	8466	6548	6984	6226	7073	10901	10714	7366	10400	9720	10160
HP_RS01255	1310	2036	1310	6074	4437	4817	3405	2654	2187	2654	2961	2688
HP_RS01260	433	689	384	3148	2202	2263	1214	918	842	889	991	915
HP_RS01265	427	717	363	3844	3210	3292	1434	1180	818	1143	1013	1113
HP_RS01270	276	289	268	1420	1397	1380	1042	896	591	851	738	737
HP_RS01275	118	293	74	707	878	1108	447	375	262	304	294	306
HP_RS01280	62	62	33	222	410	430	162	82	78	75	80	87
HP_RS01285	265	258	211	83	227	217	285	223	178	216	210	185
HP_RS01290	402	546	360	342	622	600	728	672	417	640	450	640
HP_RS01295	80	126	55	213	206	195	197	167	127	139	122	151
HP_RS01300	6921	12959	6556	3790	2602	3714	7561	7771	5069	7581	6827	7043
HP_RS01305	3347	6046	3296	2212	1619	1910	3604	3602	2515	3407	3418	3520
HP_RS01310	3131	5542	2809	2541	1874	2439	3911	3790	2796	3761	3602	3829
HP_RS01315	3350	5748	3188	2314	1864	2142	5068	4490	3368	4319	4233	4370
HP_RS01320	6132	8711	5939	2111	2941	3339	5390	5145	3648	4931	4540	4699
HP_RS01325	9884	15752	10223	6841	5574	6529	9717	9456	6805	9106	8869	9352
HP_RS01330	692	1598	802	674	904	1085	2046	1760	1175	1630	1538	1569
HP_RS01335	1357	2868	1214	2674	2245	2905	3367	2762	1783	2559	2263	2489
HP_RS01340	932	1289	800	1624	1421	1610	2086	1815	1190	1676	1382	1681
HP_RS01345	675	835	548	621	970	1040	1479	1256	803	1212	971	1169
HP_RS01350	389	370	334	402	514	560	1049	836	554	839	771	748
HP_RS01355	5446	7075	5028	4837	4713	5475	9092	9838	5831	9383	7592	9843
HP_RS01360	2078	2734	1971	2775	2327	2588	3579	3717	2379	3438	2968	3814
HP_RS01365	1135	1341	1113	2580	1514	1615	3032	2524	2141	2390	2783	2206
HP_RS01370	2891	3441	2833	7136	4310	4465	8767	6335	5830	5901	7516	6097
HP_RS01375	826	1191	679	1837	1954	2055	3070	2023	1736	1781	2347	1869
HP_RS01380	1387	1591	1288	3545	3101	2856	3702	2724	2332	2512	2867	2776
HP_RS01385	542	685	514	1126	1159	1059	1194	877	746	846	977	865
HP_RS01390	1239	1568	1046	3007	2621	2835	3050	3010	1684	3033	2211	2895
HP_RS01395	708	1118	705	527	805	933	1463	1526	776	1380	1014	1319
HP_RS01400	1096	1959	953	951	1188	1316	2079	2038	1237	1970	1626	1916
HP_RS01405	1224	1779	1094	1225	1243	1434	2267	2210	1431	2108	1793	2098
HP_RS01410	1712	2056	1669	2146	1984	2009	3527	3296	2233	2944	2628	2905
HP_RS01415	938	1072	858	1325	1432	1509	2086	1937	1269	1738	1696	1729
HP_RS01420	1267	1708	1254	1475	1676	1777	2601	2438	1519	2239	1997	1987
HP_RS01425	3358	4844	2836	3659	5095	4861	7611	5978	4384	5923	5602	5478
HP_RS01430	1057	1264	944	2420	2122	2054	3049	2250	1978	2106	2487	2153
HP_RS01435	539	845	422	1111	908	983	1235	935	801	774	974	886
HP_RS01440	793	1197	752	1590	1667	1727	2120	1583	1392	1416	1746	1521
HP_RS01445	294	358	241	1101	1452	1311	1226	918	802	787	881	810
HP_RS01450	1238	3038	1277	13607	9943	15148	3305	4037	2253	4070	2964	3437
HP_RS01455	2570	3399	2258	8201	8305	9572	8083	11398	5032	10696	6344	10294
HP_RS01460	4066	3320	4174	5875	10827	10940	10034	9024	7489	9589	9166	9566
HP_RS01465	4876	4431	5187	9559	12243	12166	12932	12021	9282	12414	11946	12282
HP_RS01470	5316	8242	5137	18166	13529	14823	5826	4588	4168	4663	5206	4592
HP_RS01475	848	2024	712	2285	1375	1712	676	498	472	533	562	539
HP_RS01480	630	1725	571	1535	827	1095	679	608	469	566	671	520
HP_RS01485	479	1632	459	1141	700	1081	558	487	351	474	448	449
HP_RS01490	796	2558	691	2085	1023	1617	683	692	446	607	631	569
HP_RS01495	1072	3008	942	2566	1987	2744	1304	1290	852	1136	1167	1148
