A_1_1.fq.sorted.bam	B_2_1.fq.sorted.bam	C_3_1.fq.sorted.bam	D_4_1.fq.sorted.bam	E_5_1.fq.sorted.bam	F_6_1.fq.sorted.bam	R4_1.fq.sorted.bam	R4S_1.fq.sorted.bam	R5_1.fq.sorted.bam	R5S_1.fq.sorted.bam	R6_1.fq.sorted.bam	R6S_1.fq.sorted.bam
HP_RS05065	224	244	216	349	403	472	806	728	434	757	562	704
HP_RS05070	1176	1718	991	1687	1590	1765	2440	2061	1411	1980	1823	1997
HP_RS05075	755	1247	714	1146	963	1163	1701	1591	995	1402	1289	1456
HP_RS05080	941	1639	879	1572	1203	1534	2166	2086	1235	1787	1538	1837
HP_RS05085	1626	3977	1495	2143	1791	2770	2776	2733	1621	2530	2048	2363
HP_RS05090	4700	6900	4823	3002	1812	2074	5592	5065	3890	4655	5236	4802
HP_RS05095	45683	69556	46525	28850	13792	16248	39885	35733	28543	33261	38489	35520
HP_RS05100	28138	32983	27956	11408	10033	10629	23469	22264	15903	20829	21836	20603
HP_RS05105	3272	4557	3239	13811	10859	11598	6603	6403	5545	5932	5931	6708
HP_RS05110	6208	7363	5711	15413	13442	14205	12309	11920	8388	11541	11013	10473
HP_RS05115	2071	2610	1756	2980	3289	3520	4172	3149	2584	2972	3112	3059
HP_RS05120	872	1292	859	1471	1499	1643	1671	1532	953	1503	1385	1481
HP_RS05125	6621	8148	6552	4991	4147	4467	7042	6729	4414	6560	5844	6114
HP_RS05130	1606	2199	1251	2564	3714	3924	3399	3190	1712	3216	2485	2603
HP_RS05135	5874	6975	6255	4759	4152	4357	6118	6355	4138	5999	5477	5965
HP_RS05140	887	1312	890	3466	2858	2758	2430	1930	1532	1636	1858	1753
HP_RS05145	657	926	628	2032	2028	1965	1674	1409	1069	1269	1351	1393
HP_RS05150	4515	5609	4113	9541	10095	10497	10996	8206	7280	7907	9473	8039
HP_RS05155	1148	1291	900	3398	2598	2757	2657	1829	1785	1615	2196	1774
HP_RS05160	3620	5027	3424	11726	6144	6932	8837	6093	5375	5669	7096	5649
HP_RS05165	1413	3332	1421	1263	1321	1952	3914	4010	2231	3731	3197	3711
HP_RS05170	10674	17944	10816	9361	6911	9096	18960	25447	11918	23060	16561	22173
HP_RS05175	1350	1774	1308	739	1339	1557	4275	5449	2914	4855	3673	4956
HP_RS05180	595	1112	640	1253	1640	1700	1635	1185	949	1111	1110	1077
HP_RS05185	445	656	488	776	1300	1272	1283	1173	748	1068	825	961
HP_RS05190	539	710	524	875	1082	1136	1445	1189	705	1082	937	946
HP_RS05195	324	439	241	382	854	864	972	908	425	849	531	719
HP_RS05200	2012	2303	1824	1363	1530	1576	3250	3878	1878	3752	2534	3726
HP_RS05205	3327	4116	2758	2893	2681	2950	4939	5259	3251	5048	4040	5187
HP_RS05210	925	1243	801	2260	2744	2920	2316	2230	1267	2129	1442	2093
HP_RS05215	1012	1142	873	2725	2487	2632	2661	2457	1687	2395	1913	2433
HP_RS05220	500	620	392	1468	1477	1456	1556	1280	929	1273	1055	1279
HP_RS05225	343	468	290	794	921	954	1110	970	690	916	711	966
HP_RS05230	378	416	285	642	807	853	845	761	489	742	572	745
HP_RS05235	482	556	367	815	1139	1099	1030	921	585	956	822	867
HP_RS05240	192	209	172	484	565	619	573	345	332	381	469	333
HP_RS05245	642	656	553	996	1277	1435	1407	863	760	897	1143	753
HP_RS05250	10438	12816	10089	8522	8720	9220	11099	10785	7562	10015	9292	10435
HP_RS05255	9048	13363	8632	7488	8974	10083	10309	9584	6972	9232	8595	9904
HP_RS05260	15052	16573	15367	15351	12163	13189	20486	20694	13240	19982	17938	19913
HP_RS07955	2790	3903	2951	2947	2449	2653	3569	3511	2642	3122	3237	3752
HP_RS05265	2143	2890	2015	3637	3129	3274	3735	3414	2418	3164	3013	3577
HP_RS05270	3293	3558	3312	3361	4307	4535	6148	5090	3717	4744	4561	5008
HP_RS05275	2714	2322	2828	1318	1863	1908	3516	2883	2117	2798	2981	2657
HP_RS05280	0	0	0	0	0	0	0	0	0	0	0	0
HP_RS05285	1180	1430	1159	2094	2360	2414	2745	2490	1779	2572	2409	2371
HP_RS05290	2417	3558	2441	7162	6664	7510	5344	6700	3400	5743	4551	5839
HP_RS05295	1842	2771	1813	4350	4850	5503	3853	3794	2409	3486	3155	3643
HP_RS05300	17	15	11	31	142	157	112	69	32	69	34	63
HP_RS05305	554	677	490	191	737	721	1593	1123	1017	1130	1079	1027
HP_RS05310	78	108	77	194	155	200	331	232	190	225	224	244
HP_RS05315	254	309	188	519	471	513	591	483	391	431	473	476
HP_RS05320	1080	1304	1010	1559	1705	1564	2487	1954	1570	1675	1960	1750
HP_RS05325	366	550	408	415	582	543	4688	4395	2710	4258	3958	4236
HP_RS05330	1076	1463	983	1201	887	972	1016	1051	703	931	879	868
HP_RS05335	542	507	467	1477	1687	1718	1436	1129	940	891	1023	916
HP_RS05340	71	53	49	281	408	405	282	226	191	207	232	211
HP_RS05345	161	227	115	481	579	576	346	242	238	239	295	287
HP_RS05350	4704	6399	4325	7208	4928	5460	7417	7005	4765	7013	6359	7003
HP_RS05355	3386	4970	3052	4368	5867	6370	6490	6276	4056	6369	5081	6273
HP_RS05360	2708	3274	2505	4239	5301	5063	5724	4896	3514	4805	4670	4807
HP_RS05365	456	520	380	1194	1036	1086	1224	979	855	1029	1104	1076
HP_RS05370	3853	4659	3552	8665	7642	8081	7378	5955	4650	5837	6085	5905
HP_RS05375	31	45	18	45	146	144	85	54	49	36	50	44
HP_RS05380	0	0	0	0	0	0	0	0	0	0	0	0
HP_RS05385	0	0	0	0	0	0	0	0	0	0	0	0
HP_RS05390	309	754	309	110	125	204	507	457	288	403	371	284
HP_RS05395	230	515	254	49	85	118	150	197	77	152	148	131
HP_RS05400	4280	6633	4161	3611	2473	2822	3315	3501	2137	3575	3072	3462
HP_RS05405	4913	6739	4306	4307	6826	7032	3956	3988	2547	3916	3363	3892
HP_RS05410	2422	3437	2205	2485	2660	2932	2437	2289	1629	2285	2150	2315
HP_RS05415	4062	5652	4287	4729	3944	3901	4411	3749	2979	3638	3822	3680
HP_RS05420	10225	11449	9914	4384	4309	4603	5204	5446	3552	5361	4952	5383
HP_RS05425	1707	2533	1652	1832	1939	2118	2256	2110	1202	1961	1643	2009
HP_RS05430	2552	4145	2730	2597	3143	3775	2926	2412	1771	1984	2264	2095
HP_RS05435	3111	3649	3245	5016	4006	4523	2835	2556	1764	2347	2375	2384
HP_RS05440	5708	8548	5846	2780	2021	2342	3483	3145	2505	2982	3376	2957
HP_RS05445	13797	17665	12650	6041	4642	5402	9060	8096	6829	7669	8985	8140
HP_RS05450	34696	51633	30583	23194	12596	14745	32518	27490	22642	26263	31991	28284
HP_RS05455	31237	41697	29282	17528	11199	12634	31193	26545	22334	25146	29649	27399
HP_RS05460	2147	3079	1990	6292	3922	4183	3950	2974	2614	2821	3515	2924
HP_RS05465	108	143	97	426	430	428	277	215	179	214	215	198
HP_RS05470	919	939	731	736	692	709	1558	1334	854	1189	1244	1079
HP_RS05475	8	2	2	9	18	16	7	9	5	9	7	6
HP_RS05480	152	191	125	252	316	335	236	201	155	145	186	165
HP_RS07960	252	404	239	329	570	647	416	287	239	238	309	257
HP_RS05485	2277	3992	2230	1509	2260	2642	4184	3444	2342	3349	3334	2907
HP_RS05490	4995	11163	5203	3936	3667	5452	8907	9325	5233	8644	7547	7991
HP_RS05495	4719	5292	3753	11218	11227	12672	10018	11007	6536	10432	8319	11039
HP_RS05500	2285	2795	1975	4932	5015	5378	4614	5299	3035	4580	3835	4730
HP_RS05505	787	825	735	2311	2725	2967	2405	2024	1379	1995	1760	1961
HP_RS05510	769	940	697	1014	1465	1551	2440	2528	1299	2624	1758	2136
HP_RS05515	981	1557	1106	1005	1024	1215	2422	2020	1502	2071	2026	1879
HP_RS05520	3115	4296	3312	2844	3106	3404	7066	6466	4511	6289	6043	6003
HP_RS05525	14625	20265	14581	15213	16466	17938	20620	16552	14175	15741	17474	16976
HP_RS05530	21555	24256	22305	20916	20104	21244	27840	25211	19590	22723	24638	24025
HP_RS05535	3898	5386	3676	5588	6699	6996	6652	6072	4604	5910	5480	6085
HP_RS05540	2084	3250	1786	4499	5587	6134	4434	3834	2904	3628	3422	3845
HP_RS05545	2815	5144	2564	5037	5212	5638	4563	4089	3220	3832	4011	4191
HP_RS05550	4415	7784	4292	5801	6230	6669	7741	7315	5315	7189	6962	7397
HP_RS05555	3369	2935	3998	4663	4425	4211	7891	7637	5455	7477	7091	7613
HP_RS05560	10746	13115	12054	15353	12123	12098	18881	17853	12489	17933	17652	16929
HP_RS05565	8820	11967	8670	10628	11155	11658	14737	13820	10026	13821	13333	13714
HP_RS05570	16057	17288	15186	29072	21079	20240	27513	25874	19032	26204	25254	26506
HP_RS05575	4064	5531	3907	8841	7377	6960	7184	6753	4956	6497	5928	6872
HP_RS05580	5065	6848	4761	11083	8931	8927	8702	7879	6109	7951	7194	8503
HP_RS05585	3652	3747	3507	9781	8097	7784	8658	7724	5258	7855	6606	7744
HP_RS05590	2889	4580	3083	4220	3172	3569	5291	4981	3486	4938	4442	4745
HP_RS05595	3053	4052	3012	6333	4760	5694	5824	5716	3623	5121	4453	5182
HP_RS05600	494	473	455	1166	1107	1237	1345	1258	801	1162	838	1345
HP_RS05605	262	414	305	308	245	256	468	335	255	308	328	294
HP_RS05610	0	0	0	0	0	0	0	0	0	0	0	0
HP_RS05615	1304	2187	1105	263	374	369	1245	1299	690	1309	1050	1037
HP_RS05620	26	13	8	38	28	42	14	6	9	16	9	9
HP_RS05625	2286	3752	1932	3427	1187	1018	3780	1877	3796	2324	3263	1558
HP_RS05630	530	669	577	1473	1589	1667	827	394	561	387	702	370
HP_RS05635	4113	3039	4716	4321	6608	6460	10688	10366	6392	9810	8342	8758
HP_RS05640	1620	1505	1565	3302	4882	4990	5830	5411	3790	4860	3893	5022
HP_RS05645	1972	2156	2382	5984	5191	5651	4033	3307	2504	3063	3344	3086
HP_RS05650	6656	8058	7321	8752	10005	10400	10688	9326	7557	8069	9216	8509
HP_RS05655	5996	7290	6179	6553	8029	8144	9993	8548	6569	7566	8189	7404
HP_RS05660	4327	5802	4495	2065	1771	2062	4499	4274	3042	4029	3898	4005
HP_RS05665	7853	9478	7445	4423	3737	3878	10079	9709	6257	9299	8506	9078
HP_RS05670	4187	4896	3930	12493	10709	12422	8363	11146	5450	10104	6840	10454
HP_RS05675	5999	6846	5368	16273	15264	17127	11060	13187	7100	12611	9205	12807
HP_RS05680	9150	10782	7636	7170	10550	10784	11308	11177	7296	11089	9488	11016
HP_RS05685	8460	10745	6811	5015	8173	8968	9586	9353	6175	9626	7984	9296
HP_RS05690	1228	1796	1041	925	1098	1223	1436	1400	903	1312	1148	1270
HP_RS05695	157	429	116	372	372	378	377	373	183	334	276	344
HP_RS05700	3696	5167	3247	3811	5283	6012	4796	3768	3103	3798	3890	3893
HP_RS05705	78207	70710	84140	38399	39140	39236	77490	81618	55371	79066	73063	76927
HP_RS05710	171	185	128	132	147	210	627	670	306	674	458	554
HP_RS05715	2274	2079	2217	1300	2184	2184	3798	5498	2355	5444	3202	4980
HP_RS05720	12964	16600	11872	11220	8950	9857	13486	18152	9262	17873	12127	18192
HP_RS05725	2622	3382	2403	4333	3493	3598	3993	4526	2594	4441	3108	4325
HP_RS05730	2650	4062	2416	1071	929	1122	3181	2667	2066	2602	2787	2387
HP_RS05735	1671	2013	1507	1334	1553	1255	1358	948	944	922	1284	1033
HP_RS05740	3120	5179	3135	5703	3019	3458	5612	5931	4024	5829	5714	5854
HP_RS05745	127	160	95	288	370	366	838	344	475	342	670	369
HP_RS05750	248	255	197	409	398	359	859	457	542	475	719	441
HP_RS05755	828	1011	772	1445	1024	904	1346	983	937	886	1135	868
HP_RS05760	2505	3518	2393	3183	2734	2751	6132	4729	4399	4549	5363	4633
HP_RS05765	2986	2908	3002	3036	3030	2938	7222	5207	5041	5306	6360	5128
HP_RS05770	486	536	539	1351	1122	1012	2747	2634	1688	2546	2365	2213
HP_RS05775	1665	2671	1557	2464	2578	2988	857	751	398	742	616	582
HP_RS05780	18254	21105	16458	35157	42657	53415	76550	141692	57253	143604	75089	142694
HP_RS05785	2815	3627	2729	2952	3443	3502	5532	5025	3828	4565	5002	4966
HP_RS05790	2786	4126	2457	1600	1336	1551	5967	5347	3997	5134	5395	5531
HP_RS05795	1268	2019	1432	1115	971	1219	4880	4343	2558	3990	3889	3363
HP_RS05800	2	1	0	2	11	12	8	2	3	0	4	2
HP_RS05805	1126	1223	1216	1233	1885	1848	2589	1647	1528	1526	1915	1530
HP_RS05810	2419	2925	2230	6874	4786	4604	3103	2236	2259	2114	2706	2190
HP_RS05815	1143	1485	1061	2701	2293	2338	2096	1487	1332	1519	1830	1472
HP_RS05820	666	922	709	1387	1312	1387	1377	961	696	1050	1118	1008
HP_RS05825	113	143	110	644	632	606	571	218	379	273	404	244
HP_RS05830	4586	6052	3975	4832	11208	11863	2322	2328	1559	2488	2041	2314
HP_RS05835	1698	2425	1495	847	1457	1622	2864	2285	1963	2407	2381	2218
HP_RS05840	1274	1421	1186	731	1051	1162	2520	1667	1658	1830	2173	1507
HP_RS05845	4091	6585	4310	3420	2442	2821	4955	4838	3434	4636	4361	4730
HP_RS05850	5540	7703	5645	3628	3013	3253	6679	6635	4134	6280	5749	5932
HP_RS05855	544	693	494	1335	1316	1428	1222	1045	820	1008	980	903
HP_RS05860	156003	214397	145861	39281	83708	85233	227712	155012	178915	140292	208808	137599
HP_RS05865	0	0	0	0	0	0	0	0	0	0	0	0
HP_RS05870	26073	37553	27418	64449	35186	41056	41410	39055	28307	40533	39735	40382
HP_RS05875	8571	8644	9363	8550	9652	10246	12435	12042	8988	12056	11885	12461
HP_RS05880	6392	7523	6362	4743	8509	9116	9037	9042	6464	8609	8087	8912
HP_RS05885	25598	37607	24105	98988	61407	67207	50998	51723	35827	52220	48365	51573
HP_RS05890	6425	6018	6850	24278	32143	30157	14332	14432	11003	15130	14316	14766
HP_RS05895	9018	12523	9244	64123	40953	40419	19298	18697	15053	19468	19197	19364
HP_RS05900	14148	15982	13919	32090	24148	24622	22936	19570	16610	19545	22130	20227
HP_RS05905	10325	11385	10012	14757	17415	18007	15543	13325	11650	12772	14957	13348
HP_RS05910	8162	9813	7769	26950	25083	25775	17280	13910	11359	13628	14624	13208
HP_RS05915	3331	4485	3106	12451	12290	12585	10062	8012	5848	8029	8029	6941
HP_RS05920	1023	844	920	3502	3844	3967	2231	1969	1563	1969	1828	1901
HP_RS05925	11008	11928	11939	13174	14027	13664	19311	18055	13892	17419	18230	17573
HP_RS05930	69373	75445	71983	122786	83316	82475	92705	82038	68553	83807	92625	87557
HP_RS05935	3143	3972	2987	3710	7013	6927	7019	4425	4123	4813	5439	4721
HP_RS05940	130	231	260	2393	2414	2327	1980	792	661	721	483	764
HP_RS05945	107	172	178	2155	1799	1676	1547	628	548	585	383	593
HP_RS05950	31	63	68	1016	807	697	805	312	338	300	187	315
HP_RS05955	1633	1771	1413	1299	1760	1871	2502	2271	1518	2205	1982	2061
HP_RS05960	1787	1739	1728	900	897	899	2340	2303	1396	2170	1824	2151
HP_RS05965	318	358	314	450	539	525	567	292	297	262	367	272
HP_RS05970	535	475	481	334	671	672	840	602	388	535	464	468
HP_RS05975	165	245	199	315	296	356	657	634	343	602	385	516
HP_RS05980	33	75	37	196	356	415	199	77	95	127	85	117
HP_RS05985	166	425	250	510	642	787	682	491	376	447	432	467
HP_RS05990	5076	6001	7552	5184	8293	10184	11827	12085	6538	10291	10040	9109
HP_RS05995	3016	4008	2951	6349	5716	6023	4334	3512	2840	3486	3774	3552
HP_RS06000	926	937	898	1578	2611	2532	2167	1578	1211	1515	1533	1524
HP_RS06005	513	576	445	1519	1921	2045	1529	1210	826	1259	1002	1307
HP_RS06010	1290	1997	1460	2361	1885	2240	1801	1663	1187	1608	1492	1427
HP_RS06015	7014	9229	7052	8068	8077	9392	9134	8725	5234	8272	7028	7752
HP_RS06020	503	738	504	750	626	637	1167	970	766	949	820	865
HP_RS06025	1672	2179	1457	1220	1560	1733	2545	2194	1630	2088	2023	1991
HP_RS06030	9542	12482	8412	4598	4150	4419	10404	8456	7088	8371	9184	8474
HP_RS06035	1997	2539	2016	918	974	992	2386	2281	1758	2083	2225	1848
HP_RS06040	1384	1980	1329	1081	1236	1185	2041	1659	1464	1578	1834	1566
HP_RS06045	321	364	309	473	427	385	535	349	359	331	483	381
HP_RS06050	405	621	463	376	404	414	548	355	384	386	461	309
HP_RS06055	30543	37069	30553	5900	9071	8406	42717	31062	30179	24092	36451	25784
HP_RS06060	1105	1343	984	2295	2601	2476	1959	1564	1195	1559	1577	1649
HP_RS06065	2017	2178	1961	5541	4144	3919	3950	3661	2548	3617	3324	3703
HP_RS06070	1240	1482	1026	2682	2795	2869	2216	2167	1518	2188	1893	2246
HP_RS06075	796	1053	567	1705	2738	2824	2017	1858	1298	1758	1455	1838
HP_RS06080	824	983	594	3572	3774	3610	2534	2253	1416	2210	1777	2197
HP_RS06085	1481	1887	1175	4951	5486	6109	3886	4448	2344	4674	3333	4138
HP_RS06090	666	827	621	960	776	851	1500	1519	814	1425	1038	1355
HP_RS06095	835	1137	678	1092	1345	1547	1932	1553	1060	1639	1409	1388
HP_RS06100	3786	4533	3509	2844	2827	2857	4189	5213	2721	5037	3330	4910
HP_RS06105	5111	6289	4515	3943	4246	4387	5693	6117	3570	6271	4542	6323
HP_RS06110	634	682	588	2108	2356	2505	3069	2143	2431	2259	2878	2237
HP_RS06115	272	490	282	371	321	373	466	378	241	331	348	311
HP_RS06120	1098	1552	1203	1240	1067	1196	1481	1443	884	1390	1331	1263
HP_RS06125	9382	10384	9281	2092	6135	5296	10858	10792	4700	9867	8617	5681
HP_RS06130	12167	15412	10195	7485	9361	10125	12630	12893	8744	13638	12494	13033
HP_RS06135	6847	8294	6773	10410	11986	11189	11842	11033	7717	9955	10236	9602
HP_RS06140	13056	14214	13124	44287	23078	21985	19485	17977	14222	17526	18335	18746
HP_RS06145	11182	11040	11097	21956	18228	17517	16515	14968	12168	14424	15190	15494
HP_RS06150	517	765	386	810	1001	1075	1237	1045	620	929	964	889
HP_RS06155	766	954	620	1698	1555	1523	1710	1230	934	1154	1263	1160
HP_RS06160	1243	1710	1330	2055	1449	1309	1792	1275	1169	1150	1465	1175
HP_RS06165	1429	1581	1236	1038	1172	1044	1806	1234	1076	1148	1438	1174
HP_RS06170	2931	3096	2603	2157	1579	1680	3384	2588	2143	2453	2975	2334
HP_RS06175	3232	3995	3079	2445	3252	3138	3747	2761	2288	2735	3030	2682
HP_RS06180	928	1164	912	1183	1022	1046	1550	1275	1032	1195	1248	1187
HP_RS06185	127	142	138	499	635	644	575	464	334	383	383	402
HP_RS06190	4613	4943	3786	3288	5324	5622	7289	6633	4989	6812	6272	6722
HP_RS06195	5326	6104	4846	3161	5016	5335	7044	7009	5170	7145	6411	7234
HP_RS06200	3238	4109	3167	3100	3611	3661	5988	5833	3999	5527	5119	5661
HP_RS06205	1417	2021	1440	1711	2252	2255	3454	2973	2269	2674	2711	2784
HP_RS06210	2420	3260	2558	3920	3495	3264	4749	3589	3159	3360	4120	3553
HP_RS06215	6591	7337	6208	6600	5548	5715	9930	8983	6496	8032	8311	8681
HP_RS06220	8350	8391	7945	11397	6922	7263	10635	9648	7470	9188	9187	10301
HP_RS06225	9309	10674	8658	10015	7190	7525	11575	10921	8049	10497	10323	10879
HP_RS06230	12006	12302	11009	10151	8750	8843	19519	18434	12869	17430	16972	17222
HP_RS06235	4194	5323	3947	4936	2952	3183	6639	6211	4660	5788	5886	6291
HP_RS06240	6271	8315	5919	7161	5636	5749	10318	9563	6568	8631	8371	8932
HP_RS06245	21231	26094	19479	17988	14618	14590	29282	27710	19435	26005	25215	26276
HP_RS06250	9326	11880	8352	8365	6581	6580	13710	13567	9078	13107	12457	13530
HP_RS06255	8892	10631	7590	8591	5873	6026	11563	11299	7865	11108	10592	11245
HP_RS06260	5861	8148	5115	5684	4183	4280	8125	8152	5669	7679	7394	8252
HP_RS06265	2863	3494	2548	2920	2150	2243	4538	4564	3219	4359	4211	4722
HP_RS06270	8860	10430	8373	11298	7269	7735	15138	14006	10077	13779	13678	14137
HP_RS06275	7323	11227	6602	9572	6625	7434	12899	11964	8864	11949	11312	12065
HP_RS06280	6701	9448	5682	10144	6616	6987	13747	12849	9171	12340	12151	12874
HP_RS06285	1993	2370	1620	2947	3532	3515	6858	5989	4328	5681	5504	5914
HP_RS06290	1537	1923	1362	2432	2556	2362	7459	6867	4857	6651	6637	6765
HP_RS06295	403	406	425	75	221	200	197	265	143	266	210	235
HP_RS06300	1123	1447	1198	780	1115	1091	2377	1906	1542	1863	1964	1863
HP_RS06305	585	653	593	520	640	645	1711	1380	1044	1378	1299	1270
HP_RS06310	422	585	338	736	1001	1016	1540	1253	941	1247	1062	1090
HP_RS06315	1266	1516	1318	1342	1218	1185	2691	2066	1770	1734	2103	1711
HP_RS06320	485	592	494	441	457	510	1370	921	812	846	919	814
HP_RS06325	1343	1896	1204	1319	1489	1527	3562	2168	2377	2107	2892	2159
HP_RS06330	0	0	0	0	0	0	0	0	0	0	0	0
HP_RS06335	3017	4377	2499	3258	2895	3153	4118	4056	2595	3881	3360	3957
HP_RS06340	10909	14892	9703	6945	6498	7043	9894	10607	6724	10215	8881	10421
HP_RS06345	4412	5546	4456	8061	9532	9310	12825	8038	9229	7091	11650	7387
HP_RS06350	3110	4147	2768	3067	3370	3419	3976	3523	2640	3247	3337	3207
HP_RS06355	247	707	246	238	216	260	410	359	257	308	340	293
HP_RS06360	922	3657	732	917	781	1139	1363	918	729	861	1042	770
HP_RS06365	1342	1844	1048	1812	1787	1995	867	1072	579	1110	743	1061
HP_RS06370	803	1079	587	1370	1300	1524	757	772	422	784	600	808
HP_RS06375	6143	7288	5755	13624	14503	15609	12656	13459	9063	13325	12217	13926
HP_RS06380	12715	18097	12377	42140	28681	32081	25303	26409	18293	26783	24186	27992
HP_RS06385	5655	8840	6093	17786	12361	13835	11666	12152	8367	12807	11236	12345
HP_RS06390	2712	3264	3274	4907	6382	7097	5429	5601	3850	5916	5355	5874
HP_RS06395	3399	4985	3615	3906	7072	8390	5990	5824	4186	5884	5695	5935
HP_RS06400	1803	2379	1952	1381	4073	4675	3561	3667	2501	3591	3320	3495
HP_RS06405	994	1303	942	2371	3061	3713	3176	3931	2214	3808	2949	3672
HP_RS06410	1907	2917	1872	9839	5994	7728	7024	8403	4616	8539	6294	7752
HP_RS06415	3320	7964	3627	14670	9816	14631	10933	13563	7658	13699	10331	12682
HP_RS06420	3074	6541	3065	8472	8357	11671	7383	9734	5326	9857	7264	9210
HP_RS06425	2844	3232	3031	11247	8556	10627	8090	10562	5975	11102	8134	10249
HP_RS06430	2352	3447	2565	9312	7092	8938	6403	8226	4800	8440	6345	7984
HP_RS06435	3233	5450	3280	12918	8801	12022	7862	9623	5698	9609	7658	9090
HP_RS06440	2215	4214	2300	9613	6090	8477	5545	6567	3902	6447	5121	5783
HP_RS06445	1525	2650	1537	3974	4615	6174	3228	3976	2431	3802	3021	3592
HP_RS06450	2279	3013	2360	8970	7090	9163	4426	5266	3114	5214	4287	4514
HP_RS06455	1291	2096	1331	6501	4008	5102	2704	3132	2014	2996	2565	2759
HP_RS06460	1801	3155	1730	10243	5772	7433	4051	4109	2883	4113	3722	3878
HP_RS06465	1672	2777	1676	6685	5613	6916	3953	3962	2745	4117	3756	3614
HP_RS06470	1720	2875	1781	5346	5629	6963	4258	4351	3054	4423	4174	3980
HP_RS06475	2778	3692	2878	10005	9390	10737	7319	7179	4906	7277	7177	6599
HP_RS06480	3800	5565	3819	22796	15765	17905	10914	10017	7902	10311	10917	9331
HP_RS06485	2890	4524	2775	20903	11296	14083	7751	6710	6365	7029	7934	6927
HP_RS06490	2902	4768	2850	16752	11277	15010	7924	6849	6576	6818	8086	7048
HP_RS06495	5191	8092	4996	31932	20369	27125	15653	12302	11245	12614	15173	12194
HP_RS06500	2167	4481	2025	13304	9387	13176	6917	4840	4966	5092	6180	5225
HP_RS06505	2321	4884	2434	14956	11124	15891	8452	5511	5939	5738	7827	5684
HP_RS06510	2114	3711	2405	16797	11871	15465	7800	4321	5705	4349	7550	4628
HP_RS06515	3082	4629	3041	11021	14703	17935	9469	4787	6422	5079	8531	5085
HP_RS06520	187	248	136	104	159	177	197	213	138	190	177	164
HP_RS06525	1951	3152	1681	972	726	962	2782	1635	1828	1634	2515	1785
HP_RS06530	1689	2151	1861	1246	1073	1269	2138	1628	1524	1582	2008	1747
HP_RS06535	1124	2013	1230	1031	687	821	1099	1224	788	1140	1131	1196
HP_RS06540	5477	9702	5247	4582	2851	3585	3951	4478	2771	4219	3979	4146
HP_RS06545	10111	11286	10298	2344	1692	1879	2714	2857	1958	2523	2547	2683
HP_RS06550	5121	6464	5130	1333	1238	1444	1602	1722	1113	1569	1503	1648
HP_RS06555	524	869	494	421	404	487	411	416	257	401	292	370
HP_RS06560	1990	3001	1957	1410	1413	1611	1940	1650	1043	1489	1389	1338
HP_RS06565	441	612	463	456	614	656	761	599	467	527	524	458
HP_RS06570	669	1072	720	1930	1104	1198	1591	1203	1066	1136	1384	1079
HP_RS06575	765	967	755	1704	1245	1336	2156	1418	1243	1590	1758	1357
HP_RS06580	597	835	508	363	611	590	1020	1327	654	1262	715	1112
HP_RS06585	24149	33695	19252	19751	40290	50659	18134	19778	10806	19254	14610	18588
HP_RS06590	2171	3329	2178	2853	3890	4608	3272	3338	1991	3342	2566	3158
HP_RS06595	915	1081	681	1314	1865	2002	2888	2761	1634	2696	1723	2640
HP_RS06600	761	1040	741	1164	1084	1169	1594	1266	981	1244	1161	1146
HP_RS06605	454	437	510	768	680	725	976	701	683	668	637	633
HP_RS06610	8193	9862	8026	14630	12677	13045	13221	14938	8893	14871	11716	14780
HP_RS06615	7386	10431	7040	12945	11383	12015	11191	12890	8199	12648	10209	13714
HP_RS06620	7851	8419	7429	8508	12984	12917	13526	15504	9235	15074	11555	14921
HP_RS06625	16890	19781	14617	3897	4394	4776	18817	15068	12855	14413	17419	14998
HP_RS06630	1883	2220	1792	1586	1726	1855	2720	2309	1641	2088	2075	2219
HP_RS06635	2839	4470	2589	1996	2354	2568	4024	3804	2752	3728	3341	3824
HP_RS06640	5847	9073	5383	3682	4013	4383	6162	6462	4095	6308	5580	6280
HP_RS06645	3528	4011	3100	2894	3771	3809	4950	4566	3214	4301	4053	4210
HP_RS06650	224	351	204	662	830	734	888	540	490	509	532	536
HP_RS06655	526	733	443	1260	1592	1543	1675	1344	990	1317	1207	1311
HP_RS06660	2295	3552	2202	5524	4712	5101	3984	3518	2762	3395	3353	3397
HP_RS06665	9853	10954	9946	12470	12327	12617	14090	13262	9285	13042	11807	12581
HP_RS06670	333	536	354	399	602	645	638	573	340	555	446	525
HP_RS06675	1146	1496	1176	617	1046	943	1283	1205	851	1037	986	1015
HP_RS06690	1822	2551	1502	1548	2106	2096	3354	2638	1995	2745	2577	2691
HP_RS06695	1101	1443	1172	1551	1273	1208	2880	2203	1823	2199	2381	2173
HP_RS06700	1605	2197	1372	2200	2021	1967	3168	2581	2226	2479	2654	2509
HP_RS06705	1043	1590	1013	1833	1498	1404	2250	1829	1558	1688	1875	1883
HP_RS06710	472	634	517	573	632	564	1143	957	664	842	772	845
HP_RS06715	454	848	476	658	584	633	1095	808	608	752	775	672
HP_RS06720	919	1187	899	1126	1331	1236	2084	1531	1118	1463	1564	1303
HP_RS06725	711	1012	615	1097	1494	1562	1778	1350	944	1301	1272	1337
HP_RS06730	2239	2972	2206	2555	2770	3005	3775	3575	2465	3298	3154	3422
